,user_a,user_b
2394,Bạn thường hay đi du lịch là ở đâu?,"Đà Lạt, Nha Trang, Đà Nẵng và Hà Nội."
2395,Điểm du lịch nào khiến bạn đi một lần nhớ mãi?,Đà Lạt
2396,Bạn muốn dẫn người yêu đi đâu nhất?,Đến Đà Lạt
2397,Đi du lịch bạn trải nghiệm đc những gì?,"Lối sống của địa phương đó, lịch sử cũng như các phong cảnh mới"
2398,"Hè tới, có đi chơi đâu không ?",Đang tính đi Tây Bắc
2399,Tây Bắc là đi những đâu ?,Tham quan Mộc Châu với Sapa
2400,Tour đi như nào đấy ?,"Đi máy bay từ Sài Gòn đến Hà Nội, Mộc Châu 2 ngày, ở Sapa 2 ngày, Hà Nội 1 ngày"
2401,Tour bao nhiêu ?,Khoảng 10 triệu
2402,"Bao gồm ăn, ở ?","Không, chỉ tiền khách sạn"
2403,Đi du lịch không?,có
2404,Khi nào đi được?,Tháng 4
2405,Đi bao lâu?,1 tuần
2406,Mày muốn đi đâu?,Đi Hà Nội
2407,Rủ thêm ai đi không?,Có
2408,hè này đi chơi đâu đây?,Đà Lạt
2409,tầm tháng mấy?,tháng 6 đi
2410,đi tầm bao lâu?,chắc khoảng 1 tuần
2411,lên đó có gì vui không?,lên đó tránh nóng
2412,sao không đi biển đi cho gần,biển đi hoài à
2413,Hè này đi chơi đâu đây?,Đà Lạt
2414,Tầm tháng mấy?,tháng 6 đi
2415,Đi mấy ngày?,1 tuần đi
2416,Máu vậy?,Haha thích vậy
2417,Sao không đi biển đi cho gần?,Không thích nha
2418,Đi chơi không?,Đi
2419,Đi đến đâu?,Đà Lạt
2420,Khi nào đi?,Thi xong
2421,Có gì chơi?,"Ngắm cảnh, ăn đặc sản"
2422,Chốt kèo nhé,ok
2423,"Hè tới, có đi chơi đâu không ?",Đang tính đi Tây Bắc
2424,Tây Bắc là đi những đâu ?,Tham quan Mộc Châu với Sapa
2425,Tour đi như nào đấy ?,"Đi máy bay từ Sài Gòn đến Hà Nội, Mộc Châu 2 ngày, ở Sapa 2 ngày, Hà Nội 1 ngày"
2426,Tour bao nhiêu ?,Khoảng 10 triệu
2427,"Bao gồm ăn, ở ?","Không, chỉ tiền khách sạn"
2428,Tết này đi đâu chơi?,Covid thì ở nhà chứ chơi bời gì
2429,Tết có đi đâu không?,Không
2430,Sao vậy?,Hết tiền
2431,Tính đi du lịch hả?,Ờ
2432,Khi nào đi?,Hè
2433,Tết không đi à?,Dịch quá không đi.
2434,làm chuyến cuối năm đi?,vote Đà Lạt
2435,Đà Lạt hoài không chán à?,ngủ mát mà
2436,đi chơi hay đi ngủ ba?,hì hì
2437,năm nay đi SaPa nhé?,cũng ok đó
2438,25 tết đi nha?,đi sớm sớm đi
2439,mầy muốn bao nhiêu,20 tết
2440,Tết này đi đâu ?,Phan thiết
2441,Đi vào ngày nào ?,Mùng 3 tết
2442,Có ai đi ?,Tụi mình
2443,Đặt phòng chưa ?,Rồi
2444,Mặc đồ concept nào ?,Trắng đen
2445,sắp tới đi chơi đâu ?,Nha Trang
2446,khi nào đi du lịch,Sau Tết
2447,đặc sản Nha Trang,"mực, ốc"
2448,trải nghiệm ở Nha Trang,tham quan Vinpearl
2449,làm gì khi ở Nha Trang,dạo biển
2450,Nha Trang có an toàn không?,có
2451,tháng 4 đi chơi không?,có
2452,tháng tư đi Phú Quốc không?,ừ
2453,đi Thái Lan vào kì nghỉ hè không?,có
2454,đi Trung Quốc không?,có
2455,đi Campuchia không?,có
2456,Bạn đi du lịch nhưng nơi nào rồi ?,"Daklak , Ninh Thuận , Đà Nẵng ..."
2457,Có thích du lịch nước ngoài không ?,Có nhưng đi hết trong nước đã.
2458,Thường hay đi vào dịp nào ?,"Hè, các ngày lễ đc nghỉ dài"
2459,Thường đi với bạn bè hay đi một mình ?,bạn bè
2460,Vì sao thích đi du lịch ?,"Vì thích không khí ở những nơi đi qua, mát mẻ, trong lành..."
2461,tết này đi chơi không?,ok ở đâu
2462,đi du lịch không?,vịnh hạ long được đó
2463,sắp họp lớp rồi,làm chuyến du lịch luôn thôi
2464,đi chỗ này không?,đi luôn
2465,đi chùa không?,ok dạo này tao hơi nghiệp
2466,mai đi đà lạt vs tôi không,không
2467,bạn đi chơi đà lạt dịp nào,tết
2468,bạn thích đi du lịch không,không
2469,tết này bạn có đi chơi ở đâu không,không
2470,đi phượt không,không
2471,đi chơi lần cuối là khi nào?,2 thàng trước
2472,đi chơi lần cuối ở đâu?,Bà Nà Hill
2473,chỗ đó có gì đẹp?,phong cách châu âu
2474,từng đi Đà Lạt chưa?,rồi
2475,"từng đi Đà Lạt chưa, bao giờ vậy?","đi rồi, 4 tháng trước"
2476,Đà Lạt có gì vui?,"có cảnh đẹp, không khí tốt"
2477,Đà lạt lạnh không?,lạnh
2478,Tết này đi đâu ?,Phan thiết
2479,Đi vào ngày nào ?,Mùng 3 tết
2480,Có ai đi ?,Tụi mình
2481,Đặt phòng chưa ?,Rồi
2482,Mặc đồ concept nào ?,Trắng đen
2483,chất liệu vải của áo là gì ?,cotton
2484,có dãn khi giặc nhiều không?,có
2485,cao 1 mét 63 thì mặc size gì ?,M
2486,có giảm giá không ?,mua 5 cái trở lên thì được giảm giá
2487,giảm tối đa là nhiêu ?,69 phần trăm
2488,Bạn có muốn đổi điện thoại trong thời gian tới không?,"Chưa đâu, hiện tại tôi vẫn thích chiếc điện thoại của tôi."
2489,Bạn có thường xuyên đi mua quần áo không?,Không
2490,Bạn hay đi mua quần áo vào thời gian nào?,Tôi mua vào cuối năm
2491,Bạn có hay sắm sửa cho bản thân không?,Tôi chỉ sắm khi cần thiết
2492,có hay đi mua quần áo,không
2493,có định mua điện thoại mới,không
2494,thích iphone hay samsung,samsung
2495,có cần nâng cấp ram của laptop,có
2496,mua laptop,không
2497,mua quần áo mới cho tết,có
2498,Bạn mua đồ sắm tết chưa?,Chưa.
2499,Bạn mua điện thoại nào ấy?,iPhone 8 plus
2500,Bạn mua đồ sắm tết chưa?,Chưa.
2501,Bạn mua điện thoại nào ấy?,iPhone 8 plus
2502,Bạn có muốn đổi điện thoại trong thời gian tới không?,"Chưa đâu, hiện tại tôi vẫn thích chiếc điện thoại của tôi."
2503,Bạn có thường xuyên đi mua quần áo không?,"Không đâu, tôi ít khi đi mua quần áo lắm."
2504,Bạn hay đi mua quần áo vào thời gian nào?,Tôi chỉ đi mua quần áo vào khoảng thời gian cuối năm.
2505,Bạn có hay sắm sửa cho bản thân không?,Tôi chỉ sắm sửa khi thấy món đồ đó thật sự cần thiết.
2506,cũng được,mày biết chỗ nào bán đồ okay không
2507,tao biết vài chỗ,okay vậy đi thử
2508,vậy mày biết không,biết
2509,vậy đi chỗ tao xong rồi tới mày hay sao,vậy cũng được
2510,à mà sao tao điện m không nghe máy,điện thoại tao mới hư rồi
2511,vậy hả?,ừ mày
2512,rồi có định mua điện thoại mới chưa,ừ tao đang phân vân con iphone 12 promax với con s21 ultra đây
2513,gì giữ vậy chàng trai,haha
2514,giỡn hay thiệt,giỡn á
2515,"haha, chớ tính mua loại nào",chắc mua tầm 5 triệu đổ lại thôi
2516,thấy huawei hay iphone cũ cũng được lắm mày,ừ mày
2517,vậy tí nữa có gì ghế TGDĐ xem thử,okay mày
2518,Bạn mua đồ sắm tết chưa?,Chưa.
2519,Bạn mua điện thoại nào ấy?,SamSung Note 9.
2520,bạn muốn mua gì ?,ip mới ra thị trường
2521,bạn giàu thế ?,cũng thường thôi
2522,thế giờ đang xài điện thoại gì ?,nokia
2523,bạn có mua đồ gì cho tết chưa ?,chưa
2524,đồng hồ mới ra mắt có muốn coi thử không ?,ok
2525,nên mua quần áo ở đâu?,tao thích mặc sơ mi nên hay mua ở MAZZOLA
2526,mua áo thun ở đâu?,ra uniqlo đi
2527,nên mua điện thoại nào bây giờ?,tao không khoái apple lắm nên sẽ ủng hộ samsung.
2528,mua điện thoại samsung nào?,samsung galaxy note 20 ultra nha
2529,nên mua ở đâu?,"ra store mua, đừng có shoppee hay tiki là được"
2530,Còn hàng không ?,Còn
2531,Quần này nhiêu ?,300k ạ
2532,Áo này nhiêu shop ?,Ib ạ
2533,Có giảm giá điện thoại không ?,Không ạ
2534,Size khác có không ?,Có ạ
2535,"Ê mày, tao mới mua cái 12 128GB nè",Màu gì đấy?
2536,Xanh,Nhiêu tiền?
2537,19.5 triệu,Rửa nhanh còn kịp
2538,ê mày con Mac M1 chip ngon không?,"chip ok luôn, chơi game mượt"
2539,Tết này đi sắm đồ ở đâu đây mày?,tao thấy shop kia bán háng onl khá ổn nè.
2540,Quần mới tao mới mua thấy ổn không mày?,"ngon đấy, cho cái địa chỉ bạn ơi."
2541,"ê ông anh tao đang pass lại Ip 12 pro max, 30 triệu, lấy không.","được nha, cho tao thông tin ổng với."
2542,"tao có mã freeship trên shoppee nè, ai đặt gì chung không?",chốt cho tao cái quần jean đen với.
2543,váy bao nhiêu tiền,500 ngàn
2544,đầm này còn không?,không
2545,điện thoại xịn không?,xịn
2546,bao nhiêu tiền?,10 triệu
2547,giảm giá không?,không
2548,chừng nào được giảm,dịp lễ
2549,thanh toán bằng gì?,tiền mặt
2550,khi nào thanh toán?,ngay bây giờ
2551,áo này còn không shop?,vẫn còn
2552,chất liệu áo sao thế?,áo len dày dặn
2553,áo có mấy size?,có đầy đủ size
2554,"cao 1m7, nặng 63kg mặc size gì?",size xxl
2555,áo có màu nào khác không?,"có 3 màu, đen, trắng, xanh đen"
2556,giá bao nhiêu?,299k
2557,mặt hàng này còn không?,vẫn còn
2558,bảo hành bao lâu?,12 tháng
2559,có cấu hình cao hơn không?,có
2560,giao hàng trong bao lâu?,3 ngày
2561,ngoại thành thì sao?,50000
2562,"Ê mày, tao mới mua cái 12 128GB nè",Màu gì đấy?
2563,Xanh,Nhiêu củ?
2564,23.5,Rửa nhanh còn kịp
2565,mua đồ chưa,mua rồi
2566,mua ở đâu vậy,shopee
2567,mày mua gì vậy,nhiều lắm
2568,có gì hay không,có
2569,là gì,sịp ren
2570,có tính mua thêm gì không,có
2571,mua gì,chuột không dây
2572,gì nữa không,giày chạy bộ
2573,shopee có sale không,có
2574,sale nhiều không,freeship
2575,giao hàng nhanh không,nhanh lắm
2576,bao nhiêu tiền ?,200 nghìn đồng
2577,có bảo hành không ?,có
2578,hạn sử dụng bao lâu ?,6 tháng
2579,ngày sản xuất khi nào ?,1 tháng trước
2580,chất liệu là gì ?,polyme
2581,xuất xứ ở đâu ?,việt nam
2582,có freeship không ?,không
2583,mày mua áo này ở đâu?,ở Aeon Tân Phú
2584,áo này làm từ vải gì?,vải cotton
2585,mua máy tính ở đâu thì uy tín?,mua ở Phong Vũ
2586,giày này của hãng nào vậy?,hàng của Nike
2587,mày chỉ tao chỗ mua sách học tiếng Anh với?,mày lên thư viện mua
2588,tai nghe hiệu gì vậy?,hãng Marshall
2589,mày mua guitar ở đâu?,ở ChoiGuitarShop
2590,Ở đây có áo khoác không?,Có nhiều lắm
2591,Có màu đen không?,Có
2592,Chất liệu gì?,"Jean, len,..."
2593,Giá bao nhiêu?,Tùy loại
2594,Có áo form rộng không?,Có
2595,Gía chiếc váy này là bao nhiêu,400000
2596,Vải gì,Len
2597,Vải có dày không,Có
2598,Shop có nhận ship cod không,Có
2599,Ship vào Sài Gòn phí bao nhiêu,30000
2600,Shop có cho kiểm tra hàng trước khi nhận không?,Không
2601,Địa chỉ shop ở đâu ạ?,"55 Phan Châu Trinh, Đà Nẵng"
2602,giá áo thun,90 nghìn đồng
2603,bao nhiêu size,size vừa và nhỏ
2604,uống vị gì?,vị dâu
2605,quần size lớn hay nhỏ,lớn thoải mái hơn nhỏ đẹp hơn
2606,nên mua 2 ly không?,ngon mà mua 2 ly đi
2607,thích đôi giày đó quá,mua đi đẹp mà
2608,Shop có giày sneaker không?,Có bạn nhé.
2609,Có đôi nào đẹp đi chơi không?,Bạn tham khảo vài đôi giày của Adidas nhé.
2610,Không có của Nike à?,Có chứ.
2611,Có đôi Nike Air không?,Hàng vừa về luôn bạn.
2612,Tầm bao nhiêu một đôi?,1 triệu rưỡi một đôi
2613,Shop ở đâu?,Ở Sài Gòn
2614,Shop có ship không?,Ship toàn quốc nhé.
2615,Ship đến Đà Nẵng được không?,Phí ship ngoại thành Sài Gòn là 30k.
2616,Bao lâu hàng tới?,Trong vòng 3 ngày
2617,Than toán như nào?,Thanh toán trực tiếp cho shipper
2618,tư vấn tao mua điện thoại?,"tao không biết, ra thế giới di động mà xem."
2619,con laptop dell như thế nào?,"ngon, bền"
2620,nên mua hãng laptop nào?,Macbook hoặc Dell
2621,áo mua ở đâu vậy?,tao quên rồi
2622,công nghệ thông tin xài máy nào?,được thì Macbook
2623,bảo hành bao lâu?,tùy theo nhà sản xuất
2624,laptop tốt dưới 15 triệu?,ra thế giới di động hỏi
2625,laptop này nhiêu?,18 triệu
2626,thiết kế xài laptop này ổn không?,ổn
2627,laptop bảo hành sao?,2 năm
2628,áo này còn size nào không?,không
2629,có khuyến mãi không?,đang khuyến mãi tết
2630,bạn muốn mua mặt hàng nào?,mình muốn mua laptop
2631,bạn muốn mua của hãng nào?,mình muốn mua của Dell
2632,bạn muốn mua loại laptop nào?,mình muốn mua laptop dòng gaming
2633,bạn có thể mua laptop ở mức giá nào?,mình có thể mua tầm 15-20 triệu
2634,bạn cần laptop có tình năng gì?,mình cần nó đủ mạnh để học IT
2635,bạn còn có yêu cầu nào cụ thể hơn về laptop không?,mình cần mấy 8gb và ở cứng SSD
2636,quần này bao nhiêu tiền ?,250k
2637,dép này bền không ?,bền
2638,áo này có giảm giá không ?,không
2639,áo này có bao nhiêu size ?,5
2640,có ship tận nhà không ?,không
2641,laptop bảo hành mấy năm ?,2
2642,máy tính này bao nhiêu?,20 triệu
2643,mày này xài chip gì?,core i9
2644,máy mới à?,máy cũ
2645,có chip khác không?,amd
2646,chỗ này uy tín không?,uy tín luôn
2647,Cho hỏi loại áo Polo còn màu đen không ?,Vâng để mình kiểm tra kho ạ
2648,Và những chiếc tất cổ cao được để ở đâu ?,Ở cuối dãy quần kaki
2649,Tôi có thể treo áo khoác trong phòng thay đồ chứ ?,Dĩ nhiên rồi
2650,Có thể cho tôi mượng một chiếc móc áo không ?,Của bạn đây
2651,Chiếc áo tôi hỏi ban đầu còn màu đó không ?,"Rất tiếc, trong kho không còn loại màu bạn yêu cầu"
2652,Mua máy tính đâu thế?,Phong Vũ
2653,Mua đồ tiện dụng ở đâu mạy?,Tiệm tạp hóa chứ đâu
2654,Tiệm tạp hóa có bán giấy A4 không mày?,Thử đi rồi biết
2655,Mày thích áo này không?,"Đẹp thế, đưa tao"
2656,Bóp viết mua đâu thế mày?,"Siêu thị, văn phòng phẩm chứ đâu"
2657,Mày mua máy tính mới hả?,mua ở GearVN
2658,đo mắt kính ở đâu?,bệnh viện Điện Biên Phủ
2659,Mua quần áo ở đâu?,ZombieShop
2660,Mua áo khoác ở đâu?,YameShop
2661,Giày hãng gì?,Bitis
2662,dòng dell có tốt không?,có
2663,hp có tốt không?,có
2664,có bán ram kingston không?,có
2665,áo này giá nhiêu?,500 dollar
2666,quần tây chất liệu gì?,cotton
2667,tư vấn về mẫu giày jordan 1,rất sẵn lòng.
2668,mặt hàng cáp chuyển đổi cổng cho MacBook còn không?,vẫn còn ạ.
2669,có phải là shop bán máy tính TGB không ?,đúng rồi
2670,bạn cần gì ?,cần mua 1 con lap giá cỡ 13 14 triệu
2671,câu hình bạn cần là gì ?,cỡ i5 đời 9 trở lên
2672,đợi chút để mình check kho ?,những con lap cỡ đó là từ 16 tr đổ lên
2673,bạn giới thiệu vài còn lap khác được không ?,đợi chút
2674,Laptop ASUS A512FA EJ2005T,"cũng được, mình đặt 1 cái này"
2675,xin địa của bạn là ?,26/19/57/6 lâm hoành phường an lạc quận bình tân
2676,Cửa hàng bán những loại thiết bị gì?,Đồ điện tử
2677,Cửa hàng bán những dòng máy tính nào?,"Asus, MSi, Apple, Acer, Lenovo,..."
2678,Cửa hàng có bán quần áo không?,Có
2679,Cửa hàng có hỗ trợ nâng cấp máy tính không?,Có
2680,Cửa hàng có bao nhiêu gói bảo hành khi mua sản phẩm?,"6 tháng, 12 tháng đến 3 năm"
2681,Cửa hàng có hổ trợ lắp đặt tận nhà không?,Có
2682,mày đang laptop gì,asus
2683,sao sài asus,cân bằng giữ học và chơi
2684,học IT mua máy gì hợp,tao nghĩ là Macbook
2685,Asus ROG Strix G-531 core i7 10300H còn không shop,còn
2686,m76 55kg mặc size gì shop,size L
2687,giá nhiêu,sản phẩm nào
2688,palm tree shirt nhiêu,480k sale còn 480k
2689,mua áo không?,mua.
2690,thích kiểu gì?,áo len.
2691,kiểu khác?,vitage.
2692,size?,XL.
2693,Giá?,250k.
2694,Đổi được không?,Được.
2695,Đổi ở đâu?,Đâu cũng được.
2696,hàng giảm giá thì sao?,không đổi được.
2697,Bên bạn có các dòng máy tính như thế nào nhỉ?,"Asus, Acer, Dell,..."
2698,Bạn có máy tính dùng trong việc chơi game chứ?,Có
2699,Mình muốn dòng máy Dell mà không biết giá cở nhiêu bạn nhỉ?,trên 20 triệu.
2700,Mình có quà tặng gì khi mua laptop không?,"tai nghe, chuột, và lót chuột"
2701,Mình muốn mua xxx thì không biết máy này có nâng cấp SSD và Ram được không?,Được.
2702,áo này nhiêu?,225 ngàn
2703,quần này mắc quá?,giá vậy hợp rồi
2704,màu này lên môi đẹp không?,đẹp
2705,chất son ổn không?,ổn
2706,cây eyeliner kia được không?,lâu khô lắm
2707,Muốn mua đồ mà lười đi lựa thì làm sao?,Mua đồ online đi nè.
2708,Làm sao để mua đồ khi đang cách ly xã hội?,Mua đồ online đi nè.
